firm,year,pat_any,lgspilltec1,lgspillsic1,lgmalspilltec1,lgmalspillsic1,lgrd1,lsales1,lgrd1_dum
1,1992,1,10.01793,9.359235,11.60603,9.936908,4.491148,5.438079,0
1,1993,1,9.989831,9.331616,11.57349,9.910036,4.523659,5.752573,0
1,1994,1,9.971124,9.314173,11.54707,9.892756,4.6119,5.940171,0
1,1995,1,9.96292,9.304629,11.52762,9.884806,4.715044,6.107023,0
1,1996,1,9.974566,9.307494,11.52767,9.891613,5.380797,7.009409,0
1,1997,1,9.998167,9.323211,11.53136,9.912747,5.982968,7.28756,0
1,1998,1,10.04345,9.378177,11.55392,9.963332,6.273557,7.512618,0
1,1999,1,10.06605,9.431694,11.5448,10.02247,6.468626,7.711549,0
1,2000,0,10.10927,9.456327,11.57631,10.06091,6.601348,7.952263,0
1,2001,0,10.16603,9.507214,11.61008,10.11661,6.699313,7.887584,0
2,1985,1,9.475179,9.879928,11.03733,10.23475,-1,1.94591,1
2,1986,1,9.470763,9.878119,11.03322,10.23206,.3052867,1.94591,0
2,1987,0,9.48073,9.890278,11.04274,10.24422,.9087528,1.94591,0
2,1988,0,9.492515,9.904423,11.05336,10.25757,1.223213,1.94591,0
2,1989,1,9.514038,9.927635,11.07228,10.27964,1.4195,2.079442,0
2,1990,1,9.540527,9.956768,11.09734,10.30707,1.550894,2.079442,0
2,1991,1,9.565571,9.987946,11.12131,10.33572,1.641755,2.079442,0
2,1992,1,9.591648,10.01427,11.14493,10.36061,1.479236,2.197225,0
2,1993,1,9.621405,10.04675,11.16985,10.39139,1.572764,2.302585,0
2,1994,1,9.650839,10.07882,11.19234,10.42118,1.640982,2.484907,0
2,1995,1,9.68558,10.11252,11.21693,10.4505,1.691532,2.70805,0
2,1996,1,9.737309,10.16808,11.26023,10.50373,1.72864,2.833213,0
2,1997,1,9.788173,10.22135,11.29794,10.5549,1.755793,2.890372,0
2,1998,1,9.828826,10.28001,11.33633,10.61038,1.775076,2.944439,0
3,1985,1,10.4478,6.253636,11.91458,8.207593,4.025246,4.488636,0
3,1986,1,10.4448,6.256274,11.91107,8.203086,3.970727,4.624973,0
3,1987,1,10.45463,6.267522,11.92104,8.212452,3.94562,4.70048,0
3,1988,1,10.46398,6.293983,11.93207,8.228344,3.919939,4.836282,0
3,1989,1,10.48039,6.329059,11.951,8.252605,3.91836,5.030438,0
3,1990,1,10.50206,6.395404,11.97616,8.288523,3.911533,5.159055,0
3,1991,1,10.52273,6.458448,11.99969,8.321576,3.923367,5.252274,0
3,1992,0,10.54166,6.519167,12.0224,8.360904,3.970718,5.351858,0
