"firm","year","pat_any","lgspilltec1","lgspillsic1","lgmalspilltec1","lgmalspillsic1","lgrd1","lsales1","lgrd1_dum"
4,1981,0,8.243993,4.683981,9.887237,5.902087,-1,3.713572,1
4,1982,0,8.281333,4.531524,9.925534,5.850873,-1,3.78419,1
4,1983,0,8.325775,4.382108,9.964739,5.820008,-1,3.806663,1
4,1984,0,8.366274,4.240295,10.00178,5.801641,-1,3.850147,1
4,1985,1,8.399819,4.100757,10.04794,5.789889,-1,3.931826,1
4,1986,1,8.451764,3.966648,10.09735,5.787467,-1,3.931826,1
4,1987,0,8.505396,3.82114,10.15021,5.788607,-1,3.988984,1
4,1988,0,8.560531,3.668208,10.1992,5.796862,-1,4.025352,1
4,1989,0,8.620953,3.527168,10.25294,5.81559,-1,4.094345,1
4,1990,0,8.67128,3.388445,10.30625,5.83134,-1,4.29046,1
4,1991,0,8.720705,3.252206,10.35698,5.851161,-1,4.430817,1
4,1992,0,8.769322,3.118705,10.40302,5.86788,-1,4.532599,1
4,1993,1,8.817669,2.988507,10.44809,5.887762,-1,4.60517,1
4,1994,0,8.860488,2.861876,10.48574,5.904892,-1,4.65396,1
4,1995,0,8.909245,2.73918,10.52028,5.920564,-1,4.691348,1
4,1996,0,8.950108,2.576661,10.56077,5.943146,-1,4.718499,1
4,1997,0,8.985826,2.414142,10.59611,5.959128,-1,4.770685,1
4,1998,0,9.018415,2.251623,10.64019,6.015577,-1,4.85203,1
4,1999,0,9.064469,2.089104,10.68871,6.085827,-1,4.905275,1
4,2000,0,9.111669,1.926585,10.73284,6.171355,-1,4.934474,1
4,2001,0,9.128607,1.764066,10.75962,6.20444,-1,5.049856,1
5,1981,1,10.3516,7.884426,11.4617,8.679006,4.473395,6.563856,0
5,1982,1,10.3696,7.905806,11.4858,8.699562,4.413079,6.343881,0
5,1983,1,10.37554,7.90658,11.50091,8.705577,4.352746,6.455199,0
5,1984,1,10.38346,7.901716,11.51659,8.707223,4.294523,6.419995,0
5,1985,1,10.40684,7.913336,11.55146,8.721438,4.258471,6.508769,0
5,1986,1,10.43542,7.906126,11.58772,8.725435,4.262012,6.576469,0
5,1987,1,10.47764,7.912534,11.63444,8.740926,4.298473,6.614726,0
5,1988,1,10.51656,7.908615,11.67587,8.752148,4.323334,6.665684,0
5,1989,1,10.56328,7.913312,11.72196,8.772128,4.338473,6.817831,0
5,1990,1,10.6115,7.932564,11.7698,8.799928,4.345244,6.775366,0
5,1991,1,10.65445,7.941681,11.81171,8.823662,4.299127,6.910751,0
5,1992,1,10.69507,7.943093,11.85067,8.840521,4.269873,6.857514,0
5,1993,1,10.73768,7.952529,11.8889,8.864872,4.2872,6.948897,0
